Year,Social Cost of Carbon ($/g CO2e)
2010,3.4e-05
2011,3.5e-05
2012,3.7e-05
2013,3.8e-05
2014,3.9e-05
2015,4e-05
2016,4.2e-05
2017,4.3e-05
2018,4.4e-05
2019,4.5e-05
2020,4.7e-05
2021,4.7e-05
2022,4.8e-05
2023,4.9e-05
2024,5e-05
2025,5.1e-05
2026,5.2e-05
2027,5.3e-05
2028,5.4e-05
2029,5.4e-05
2030,5.5e-05
2031,5.7e-05
2032,5.8e-05
2033,5.9e-05
2034,6e-05
2035,6.1e-05
2036,6.2e-05
2037,6.3e-05
2038,6.4e-05
2039,6.5e-05
2040,6.7e-05
2041,6.8e-05
2042,6.8e-05
2043,6.9e-05
2044,7e-05
2045,7.1e-05
2046,7.2e-05
2047,7.3e-05
2048,7.4e-05
2049,7.5e-05
2050,7.7e-05
