Unit: $/MW,Distributed Solar Soft Costs
2019,1936863.582499
2020,1831601.63509
2021,1726339.687681
2022,1621077.740273
2023,1515815.792864
2024,1410553.845455
2025,1305291.898046
2026,1200029.950638
2027,1094768.003229
2028,989506.05582
2029,884244.108411
2030,778982.161003
2031,769736.543325
2032,760490.925648
2033,751245.30797
2034,741999.690293
2035,732754.072615
2036,723508.454938
2037,714262.83726
2038,705017.219583
2039,695771.601905
2040,686525.984228
2041,677280.36655
2042,668034.748873
2043,658789.131195
2044,649543.513518
2045,640297.89584
2046,631052.278162
2047,621806.660485
2048,612561.042807
2049,603315.42513
2050,594069.807452
