Unit: $/MW,Distributed Solar Total Cap Cost
2019,3255232.911762
2020,3078322.075781
2021,2901411.2398
2022,2724500.403819
2023,2547589.567838
2024,2370678.731857
2025,2193767.895876
2026,2016857.059895
2027,1839946.223914
2028,1663035.387933
2029,1486124.551952
2030,1309213.715971
2031,1293674.862732
2032,1278136.009492
2033,1262597.156252
2034,1247058.303013
2035,1231519.449773
2036,1215980.596534
2037,1200441.743294
2038,1184902.890055
2039,1169364.036815
2040,1153825.183576
2041,1138286.330336
2042,1122747.477097
2043,1107208.623857
2044,1091669.770618
2045,1076130.917378
2046,1060592.064139
2047,1045053.210899
2048,1029514.35766
2049,1013975.50442
2050,998436.65118
