Unit: $/(BTU/yr) - a measure of capacity of the fuel-burning equipment that would have been purchased in the absence of an electrification policy,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.000112,0.000109,0.000107,0.000106,0.000104,0.000102,0.000101,9.9e-05,9.7e-05,9.6e-05,9.4e-05,9.2e-05,9.1e-05,9e-05,8.9e-05,8.8e-05,8.7e-05,8.6e-05,8.5e-05,8.5e-05,8.4e-05,8.3e-05,8.2e-05,8.1e-05,8e-05,7.9e-05,7.9e-05,7.8e-05,7.7e-05,7.6e-05,7.5e-05,7.4e-05
natural gas,0.000112,0.000109,0.000107,0.000106,0.000104,0.000102,0.000101,9.9e-05,9.7e-05,9.6e-05,9.4e-05,9.2e-05,9.1e-05,9e-05,8.9e-05,8.8e-05,8.7e-05,8.6e-05,8.5e-05,8.5e-05,8.4e-05,8.3e-05,8.2e-05,8.1e-05,8e-05,7.9e-05,7.9e-05,7.8e-05,7.7e-05,7.6e-05,7.5e-05,7.4e-05
petroleum diesel,9.7e-05,9.4e-05,9.2e-05,9.1e-05,8.9e-05,8.7e-05,8.6e-05,8.4e-05,8.3e-05,8.1e-05,7.9e-05,7.8e-05,7.6e-05,7.5e-05,7.4e-05,7.3e-05,7.3e-05,7.2e-05,7.1e-05,7e-05,6.9e-05,6.8e-05,6.7e-05,6.6e-05,6.6e-05,6.5e-05,6.4e-05,6.3e-05,6.2e-05,6.1e-05,6e-05,6e-05
heat,0.000112,0.000109,0.000107,0.000106,0.000104,0.000102,0.000101,9.9e-05,9.7e-05,9.6e-05,9.4e-05,9.2e-05,9.1e-05,9e-05,8.9e-05,8.8e-05,8.7e-05,8.6e-05,8.5e-05,8.5e-05,8.4e-05,8.3e-05,8.2e-05,8.1e-05,8e-05,7.9e-05,7.9e-05,7.8e-05,7.7e-05,7.6e-05,7.5e-05,7.4e-05
biomass,9.7e-05,9.4e-05,9.2e-05,9.1e-05,8.9e-05,8.7e-05,8.6e-05,8.4e-05,8.3e-05,8.1e-05,7.9e-05,7.8e-05,7.6e-05,7.5e-05,7.4e-05,7.3e-05,7.3e-05,7.2e-05,7.1e-05,7e-05,6.9e-05,6.8e-05,6.7e-05,6.6e-05,6.6e-05,6.5e-05,6.4e-05,6.3e-05,6.2e-05,6.1e-05,6e-05,6e-05
kerosene,9.7e-05,9.4e-05,9.2e-05,9.1e-05,8.9e-05,8.7e-05,8.6e-05,8.4e-05,8.3e-05,8.1e-05,7.9e-05,7.8e-05,7.6e-05,7.5e-05,7.4e-05,7.3e-05,7.3e-05,7.2e-05,7.1e-05,7e-05,6.9e-05,6.8e-05,6.7e-05,6.6e-05,6.6e-05,6.5e-05,6.4e-05,6.3e-05,6.2e-05,6.1e-05,6e-05,6e-05
heavy or residual fuel oil,9.7e-05,9.4e-05,9.2e-05,9.1e-05,8.9e-05,8.7e-05,8.6e-05,8.4e-05,8.3e-05,8.1e-05,7.9e-05,7.8e-05,7.6e-05,7.5e-05,7.4e-05,7.3e-05,7.3e-05,7.2e-05,7.1e-05,7e-05,6.9e-05,6.8e-05,6.7e-05,6.6e-05,6.6e-05,6.5e-05,6.4e-05,6.3e-05,6.2e-05,6.1e-05,6e-05,6e-05
LPG propane or butane,0.000112,0.000109,0.000107,0.000106,0.000104,0.000102,0.000101,9.9e-05,9.7e-05,9.6e-05,9.4e-05,9.2e-05,9.1e-05,9e-05,8.9e-05,8.8e-05,8.7e-05,8.6e-05,8.5e-05,8.5e-05,8.4e-05,8.3e-05,8.2e-05,8.1e-05,8e-05,7.9e-05,7.9e-05,7.8e-05,7.7e-05,7.6e-05,7.5e-05,7.4e-05
hydrogen,0.000112,0.000109,0.000107,0.000106,0.000104,0.000102,0.000101,9.9e-05,9.7e-05,9.6e-05,9.4e-05,9.2e-05,9.1e-05,9e-05,8.9e-05,8.8e-05,8.7e-05,8.6e-05,8.5e-05,8.5e-05,8.4e-05,8.3e-05,8.2e-05,8.1e-05,8e-05,7.9e-05,7.9e-05,7.8e-05,7.7e-05,7.6e-05,7.5e-05,7.4e-05
