Unit: $/(BTU/yr) - a measure of capacity of the fuel-burning equipment that would have been purchased in the absence of an electrification policy,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
electricity,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
natural gas,0,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
petroleum diesel,0,-2.6e-05,-2.6e-05,-2.7e-05,-2.8e-05,-2.8e-05,-2.9e-05,-3e-05,-3e-05,-3e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05
heat,0,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
biomass,0,-2.6e-05,-2.6e-05,-2.7e-05,-2.8e-05,-2.8e-05,-2.9e-05,-3e-05,-3e-05,-3e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05
kerosene,0,-2.6e-05,-2.6e-05,-2.7e-05,-2.8e-05,-2.8e-05,-2.9e-05,-3e-05,-3e-05,-3e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05
heavy or residual fuel oil,0,-2.6e-05,-2.6e-05,-2.7e-05,-2.8e-05,-2.8e-05,-2.9e-05,-3e-05,-3e-05,-3e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.1e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05,-3.2e-05
LPG propane or butane,0,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hydrogen,0,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,9e-06,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
