Unit: $/(BTU/yr) - a measure of capacity of the fuel-burning equipment that would have been purchased in the absence of an electrification policy,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
electricity,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0,4.7e-05,4.9e-05,4.8e-05,4.9e-05,4.9e-05,5e-05,5.1e-05,5.2e-05,5.3e-05,5.4e-05,5.5e-05,5.6e-05,5.6e-05,5.7e-05,5.8e-05,5.8e-05,5.9e-05,6e-05,6e-05,6.1e-05,6.2e-05,6.2e-05,6.3e-05,6.4e-05,6.4e-05,6.5e-05,6.5e-05,6.6e-05,6.7e-05,6.7e-05,6.8e-05
natural gas,0,4.7e-05,4.9e-05,4.8e-05,4.9e-05,4.9e-05,5e-05,5.1e-05,5.2e-05,5.3e-05,5.4e-05,5.5e-05,5.6e-05,5.6e-05,5.7e-05,5.8e-05,5.8e-05,5.9e-05,6e-05,6e-05,6.1e-05,6.2e-05,6.2e-05,6.3e-05,6.4e-05,6.4e-05,6.5e-05,6.5e-05,6.6e-05,6.7e-05,6.7e-05,6.8e-05
petroleum diesel,0,1.4e-05,1.2e-05,1.2e-05,1.2e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05
heat,0,4.7e-05,4.9e-05,4.8e-05,4.9e-05,4.9e-05,5e-05,5.1e-05,5.2e-05,5.3e-05,5.4e-05,5.5e-05,5.6e-05,5.6e-05,5.7e-05,5.8e-05,5.8e-05,5.9e-05,6e-05,6e-05,6.1e-05,6.2e-05,6.2e-05,6.3e-05,6.4e-05,6.4e-05,6.5e-05,6.5e-05,6.6e-05,6.7e-05,6.7e-05,6.8e-05
biomass,0,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06
kerosene,0,1.4e-05,1.2e-05,1.2e-05,1.2e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05
heavy or residual fuel oil,0,1.4e-05,1.2e-05,1.2e-05,1.2e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05
LPG propane or butane,0,4.7e-05,4.9e-05,4.8e-05,4.9e-05,4.9e-05,5e-05,5.1e-05,5.2e-05,5.3e-05,5.4e-05,5.5e-05,5.6e-05,5.6e-05,5.7e-05,5.8e-05,5.8e-05,5.9e-05,6e-05,6e-05,6.1e-05,6.2e-05,6.2e-05,6.3e-05,6.4e-05,6.4e-05,6.5e-05,6.5e-05,6.6e-05,6.7e-05,6.7e-05,6.8e-05
hydrogen,0,4.7e-05,4.9e-05,4.8e-05,4.9e-05,4.9e-05,5e-05,5.1e-05,5.2e-05,5.3e-05,5.4e-05,5.5e-05,5.6e-05,5.6e-05,5.7e-05,5.8e-05,5.8e-05,5.9e-05,6e-05,6e-05,6.1e-05,6.2e-05,6.2e-05,6.3e-05,6.4e-05,6.4e-05,6.5e-05,6.5e-05,6.6e-05,6.7e-05,6.7e-05,6.8e-05
