Year,Battery Cost ($/MW)
2019,813519.895561
2020,813519.895561
2021,670249.895561
2022,575519.895561
2023,505619.895561
2024,450056.895561
2025,405016.895561
2026,365985.895561
2027,332129.895561
2028,302999.895561
2029,277998.895561
2030,256485.895561
2031,237801.895561
2032,221749.895561
2033,208002.895561
2034,196105.895561
2035,185660.895561
2036,176492.895561
2037,168432.895561
2038,161272.895561
2039,154834.895561
2040,148994.895561
2041,143757.895561
2042,139018.895561
2043,134714.895561
2044,130781.895561
2045,127169.895561
2046,123846.895561
2047,120770.895561
2048,117909.895561
2049,115242.895561
2050,112744.895561
