Heat Rate by Electricity Fuel BTU/(MW*hour),preexisting,preexisting nonretiring (not used in U.S. dataset),newly built
hard coal,10511433.688256,0,10375000.0
natural gas nonpeaker,7159317.056646,0,6516500.0
nuclear,10455000.0,0,10455000.0
hydro,0.0,0,0.0
wind,0.0,0,0.0
solar PV,0.0,0,0.0
solar thermal,0.0,0,0.0
biomass,9482231.618657,0,9482231.618657
geothermal,0.0,0,0.0
petroleum,10988489.339579,0,10000000.0
natural gas peaker,9870021.190511,0,8902000.0
lignite,11488776.314303,0,11339657.157717
offshore wind,0.0,0,0.0
crude oil,7713158.293947,0,7713158.293947
heavy or residual fuel oil,10719153.320606,0,10719153.320606
municipal solid waste,18894207.644953,0,9482231.618657
