Fixed O&M ($/MW) - Newly Built,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297
natural gas nonpeaker,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998,16394.312998
nuclear,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873,65937.711873
hydro,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111,58635.415111
onshore wind,39774.864371,39445.703913,39116.543455,38787.382997,38458.222539,38129.062081,37799.901623,37470.741165,37141.580707,36812.420249,36483.259791,36154.099333,35882.943588,35611.787843,35340.632098,35069.476353,34798.320608,34527.164863,34256.009118,33984.853373,33713.697628,33442.541883,33171.386138,32900.230393,32629.074648,32357.918903,32086.763158,31815.607413,31544.451668,31273.295923,31002.140178,30730.984433
solar PV,4742.960772,4675.664685,4497.017951,4318.371217,4139.724484,3961.07775,3782.431017,3603.784283,3425.13755,3246.490816,3067.844082,2889.197349,2863.532443,2837.867537,2812.202632,2786.537726,2760.87282,2735.207915,2709.543009,2683.878103,2658.213198,2632.548292,2606.883386,2581.218481,2555.553575,2529.888669,2504.223764,2478.558858,2452.893952,2427.229047,2401.564141,2375.899235
solar thermal,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613,36427.631613
biomass,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794,112437.344794
geothermal,111083.001994,110343.981731,109604.961468,108865.941206,108126.920943,107387.900681,106648.880418,105909.860156,105170.839893,104431.81963,103692.799368,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105,102953.779105
petroleum,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653
natural gas peaker,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591,9751.475591
lignite,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297,86762.823297
offshore wind,87850.399782,83402.889702,79280.800536,75470.509758,71958.394843,68730.833264,65774.202494,63074.880008,60619.24328,58393.669783,56384.536992,54578.222379,52961.103419,51519.557586,50239.962354,49108.695196,48112.133587,47236.654999,46468.636908,45794.456786,45200.492108,44673.120348,44198.718979,43763.665475,43354.33731,42957.111958,42558.366893,42144.479589,41701.827519,41216.788157,40675.738978,40065.057454
crude oil,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653
heavy or residual fuel oil,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653
municipal solid waste,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848
