Fixed O&M ($/MW) - Preex. Retiring,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159
natural gas nonpeaker,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908,17714.282908
nuclear,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5,94477.5
hydro,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201,22802.294201
onshore wind,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0,35625.0
solar PV,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0,9975.0
solar thermal,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231,45380.769231
biomass,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069,138104.265069
geothermal,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556,98197.362556
petroleum,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653
natural gas peaker,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0
lignite,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159,31571.523159
offshore wind,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882,85436.85882
crude oil,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653
heavy or residual fuel oil,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653,33496.114653
municipal solid waste,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848,253749.829848
