Unit: $/MW,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Hard Coal,1332322.080054,1327305.780476,1322289.480897,1317273.181319,1312256.88174,1303880.560645,1298152.912209,1291629.192504,1285728.009918,1279481.533089,1271936.376467,1264722.175257,1257084.248317,1249257.321368,1242775.703163,1235932.034441,1227370.842735,1220604.401091,1213373.53441,1205199.684371,1196799.385731,1190494.593938,1182550.635289,1175420.532856,1168233.944536,1161700.045136,1153049.039926,1145924.513722,1138751.161533,1131552.723664,1114642.73585
Natural Gas Nonpeaker,911050.0,901482.955585,891915.91117,882348.866754,870220.583836,861530.336029,856389.885544,850740.107444,846963.075914,844210.457199,840362.405778,837015.844278,833409.742609,829368.332654,826462.553829,824148.178897,820934.906968,818920.797218,816596.644773,813636.344731,810519.248945,808821.294097,806010.645548,803753.967824,801459.385337,799615.040961,796312.324996,794061.248308,791777.289861,789476.831893,780377.788634
Nuclear,3727800.0,3708572.618848,3689345.237696,3670117.856544,3650890.475392,3631663.09424,3612435.713088,3590985.992993,3571262.17902,3550572.544874,3526276.702029,3502898.302816,3478346.846105,3453274.365853,3431919.394974,3409560.710173,3382466.050782,3360319.514526,3336891.954082,3310872.925606,3284237.601777,3263352.724184,3237973.077359,3214823.063972,3191517.142682,3169991.749539,3142690.590741,3119553.243227,3096281.56899,3072941.209187,3023258.270053
Hydro,1805000.0,1713002.110653,1622672.50761,1563349.934659,1505748.856339,1453173.663192,1404516.458378,1360198.111076,1320038.062639,1282897.700292,1249802.132034,1219970.588393,1193285.536598,1169695.280749,1148303.952595,1129979.138443,1113520.41664,1099183.455687,1087001.782518,1076373.96931,1067188.945278,1059100.951101,1052189.964621,1046363.084021,1040993.033526,1035894.009502,1031429.940235,1026601.94268,1021866.846943,1016860.724737,1010948.621303
Onshore Wind,1330000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar PV,768237.841514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar Thermal,6175000.0,5860270.37855,5551248.052349,5348302.408044,5151246.087475,4971383.584604,4804924.72603,4653309.327364,4515919.687976,4388860.553631,4275638.872749,4173583.591872,4082292.625204,4001589.11835,3928408.258876,3865718.1052,3809411.951664,3760364.453667,3718690.308616,3682332.000271,3650909.549636,3623240.095871,3599597.247387,3579663.182176,3561291.9568,3543847.927242,3528576.11133,3512059.27759,3495860.265859,3478734.05831,3458508.441299
Biomass,3963658.850424,3951833.078277,3940007.306131,3928181.533984,3916355.761838,3894505.69657,3880567.574991,3864255.400218,3849811.216329,3834340.422275,3814980.020281,3796611.95531,3776971.103759,3756761.036884,3740597.238325,3723347.981047,3700922.157519,3683906.803081,3665491.750137,3644225.668793,3622269.669168,3606656.162272,3586077.949966,3567966.704751,3549684.592213,3533389.724311,3510653.731422,3492562.10546,3474322.43247,3456008.101667,3408001.169891
Geothermal,1766050.0,1738847.642768,1711755.059319,1684772.249652,1657899.213767,1631135.951665,1604482.463345,1577938.748807,1551504.808052,1525180.641079,1498672.449773,1491179.087524,1483723.192086,1476304.576126,1468923.053245,1461578.437979,1454270.545789,1446999.19306,1439764.197095,1432565.376109,1425402.549229,1418275.536482,1411184.1588,1404128.238006,1397107.596816,1390122.058832,1383171.448538,1376255.591295,1369374.313339,1362527.441772,1355714.804563
Petroleum,2743840.28553,756348.054944,752696.109887,744046.452157,730672.625345,721841.911588,716514.829472,710765.005974,707012.652216,704486.251133,700974.413835,697964.955955,694745.571118,691071.142522,688415.136031,686500.019593,683910.099071,682319.188431,680470.049668,678090.693981,675580.614595,674253.341541,671998.518911,670205.592721,668381.049461,666932.040364,664266.623,662478.408367,660662.844687,658833.447807,651329.692697
