Variable O&M ($/MWh) - Newly Built,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637,3.989637
natural gas nonpeaker,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445,1.719445
nuclear,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459,31.465459
hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar thermal,3.84019,3.84019,3.84019,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211,3.278211
biomass,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023,4.320023
geothermal,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609,0.02609
petroleum,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745
natural gas peaker,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479,2.517479
lignite,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914,6.758914
offshore wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crude oil,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745
heavy or residual fuel oil,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745
municipal solid waste,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066,5.54066
