Variable O&M ($/MWh) - Preex. Retiring,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508,2.284508
natural gas nonpeaker,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457,3.130457
nuclear,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261,2.261
hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar PV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842,6.951842
geothermal,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475
petroleum,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745
natural gas peaker,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465,4.465
lignite,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225,3.870225
offshore wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crude oil,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745
heavy or residual fuel oil,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745,2.836745
municipal solid waste,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288,6.752288
