Imported Electricity (MW*hour),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347,1162837.663347
natural gas nonpeaker,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426,1390906.731426
nuclear,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234,518592.968234
hydro,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761,420100.525761
onshore wind,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717,546629.091717
solar PV,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707,186420.004707
solar thermal,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667,9292.168667
biomass,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096,25936.255096
geothermal,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734,13245.079734
petroleum,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235,148601.23235
