Unnamed: 0,ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
hard coal,0,0,0,0.0,0,0,0,0,0,0.0,0.001299,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.373009,0.0,0,0,0.388644,0,0.0,0.0,0,0,0,0.011627,0.0,0.225422,0.0,0,0,0,0
natural gas nonpeaker,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.517647,0.005882,0,0,0.282353,0,0.0,0.0,0,0,0,0.005882,0.047059,0.117647,0.023529,0,0,0,0
nuclear,0,0,0,0.03,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.6,0.0,0,0,0.35,0,0.0,0.0,0,0,0,0.0,0.0,0.02,0.0,0,0,0,0
hydro,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.21344,0.0,0,0,0.588596,0,0.0,0.0,0,0,0,0.0,0.006725,0.191239,0.0,0,0,0,0
wind,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.661486,0.0,0,0,0.160191,0,0.075578,0.0,0,0,0,0.0,0.0,0.05086,0.051886,0,0,0,0
solar PV,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.657895,0.0,0,0,0.157895,0,0.0,0.0,0,0,0,0.0,0.0,0.140351,0.04386,0,0,0,0
solar thermal,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.059172,0.0,0,0,0,0,0,0,0,0,0.642464,0.0,0,0,0.170588,0,0.0,0.0,0,0,0,0.0,0.0,0.127776,0.0,0,0,0,0
biomass,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.68,0.0,0,0,0.14,0,0.0,0.0,0,0,0,0.0,0.0,0.18,0.0,0,0,0,0
geothermal,0,0,0,0.028519,0,0,0,0,0,0.0023,0.000485,0,0,0.0,0.000366,0,0,0,0,0,0,0,0,0.462098,0.50472,0,0,0.0,0,0.0,0.000689,0,0,0,0.0,0.0,0.0,0.000822,0,0,0,0
petroleum,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.517647,0.005882,0,0,0.282353,0,0.0,0.0,0,0,0,0.005882,0.047059,0.117647,0.023529,0,0,0,0
natural gas peaker,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.517647,0.005882,0,0,0.282353,0,0.0,0.0,0,0,0,0.005882,0.047059,0.117647,0.023529,0,0,0,0
lignite,0,0,0,0.0,0,0,0,0,0,0.0,0.001299,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.373009,0.0,0,0,0.388644,0,0.0,0.0,0,0,0,0.011627,0.0,0.225422,0.0,0,0,0,0
offshore wind,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.376459,0.0,0,0,0.143426,0,0.185867,0.0,0,0,0,0.034861,0.0,0.259388,0.0,0,0,0,0
crude oil,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.517647,0.005882,0,0,0.282353,0,0.0,0.0,0,0,0,0.005882,0.047059,0.117647,0.023529,0,0,0,0
heavy or residual fuel oil,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.517647,0.005882,0,0,0.282353,0,0.0,0.0,0,0,0,0.005882,0.047059,0.117647,0.023529,0,0,0,0
municipal solid waste,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.68,0.0,0,0,0.14,0,0.0,0.0,0,0,0,0.0,0.0,0.18,0.0,0,0,0,0
